order_id,product_name,category,quantity,unit_price,unit_cost,order_date,promised_delivery_date,actual_delivery_date,delivery_status,country,region_risk_score
ORD-021,Smart Thermostat,Electronics,5,180,90,15-09-2025,30-09-2025,29-09-2025,Delivered,Australia,1.8
ORD-022,Industrial Compressor,Machinery,1,100,1200,20-09-2025,15-10-2025,18-10-2025,Delivered,Canada,1.5
ORD-023,Rotary Encoder,Components,12,35,18,25-09-2025,10-10-2025,,Shipped,Switzerland,1.2
ORD-024,Solar Inverter,Electronics,3,450,220,10-01-2025,20-10-2025,19-10-2025,Delivered,Austria,2.3
ORD-025,Pneumatic Valve,Components,8,65,32,10-05-2025,25-10-2025,26-10-2025,Delivered,Ireland,1.7
ORD-026,CNC Controller,Electronics,2,850,400,10-10-2025,11-05-2025,,Pending,Portugal,3.1
ORD-027,Hydraulic Motor,Machinery,1,1200,600,15-10-2025,11-10-2025,11-08-2025,Delivered,Greece,2.9
ORD-028,Flow Meter,Components,6,125,60,20-10-2025,15-11-2025,16-11-2025,Delivered,Hungary,2.4
ORD-029,HMI Display,Electronics,4,320,150,25-10-2025,20-11-2025,,Shipped,Romania,3.8
ORD-030,Linear Actuator,Components,3,180,85,30-10-2025,20-11-2025,18-11-2025,Delivered,Bulgaria,2.6
